Arcane Supremacy	Increases Max Magicka by 26 per stage.
Backstabber	Increases your Critical Damage done by 2% per stage against enemies you are flanking.
Battle Mastery	Increases your chance to apply a Martial status effect by 30% per stage.
Biting Aura	Increases your damage done with area of effect attacks by 3% per stage.
Blessed	Increases your Healing Done by 1% per stage.
Bulwark	While you have a Shield or Frost Staff equipped, your Spell and Physical Resistance is increased by 1900.
Cleansing Revival	Healing a target under 25% Health removes all harmful effects from them. This effect can occur once every 24 seconds.
Cutting Defense	You deal 0 Magic Damage to attackers whenever they damage you with a direct damage attack within 7 meters. This effect scales off the higher of your Physical or Spell Resistance and can activate your Weapon Enchantments and Poisons.
Deadly Aim	Increase your damage done with single target attacks by 3% per stage.
Duelist's Rebuff	Reduces your damage taken by single target attacks by 3% per stage.
Eldritch Insight	Grants 260 Max Magicka per stage.
Elemental Aegis	Reduces the damage you take from Magical attacks by 1% per stage. Affects Magic, Flame, Frost, and Shock Damage.
Endless Endurance	Increases your Max Stamina by 26 per stage.
Enduring Resolve	Reduces your damage taken by damage over time attacks by 3% per stage.
Enlivening Overflow	Overhealing yourself or an ally grants them Health, Magicka, and Stamina Recovery equal to .5% of your Max Magicka, up to a cap of 150, for 6 seconds. This effect can occur once every 12 seconds per target.
Exploiter	Increases your damage done against Off Balance enemies by 2% per stage.
Fighting Finesse	Increases your Critical Damage and Critical Healing done by 4% per stage.
Flawless Ritual	Increases your chance to apply a Magical status effect by 30% per stage.
Focused Mending	Increases your Healing Done with single target heals by 2% per stage.
Force of Nature	Increases your Offensive Penetration by 660 for every status effect your target has.
Foresight	After you drink a potion, the cost of your Magicka and Stamina healing abilities used within 6 seconds are reduced by 75%.
From the Brink	Whenever you heal yourself or an ally under 25% Health, you grant them a damage shield that absorbs up to 2200 damage per stage, for 6 seconds. This effect can occur once every 30 seconds per target.
Hardy	Reduces the damage you take from Martial attacks by 1% per stage. Affects Physical, Poison, Disease, and Bleed Damage.
Hope Infusion	Healing yourself or an ally under 50% Health grants them Minor Heroism for 1 second for every 300 Magicka Recovery you have. This effect can occur once every 10 seconds per target. Current duration: 1.5 seconds
Ironclad	Reduces your damage taken by direct damage attacks by 3% per stage.
Last Stand	When you take damage below 20% Health you gain Major Heroism, granting 3 Ultimate every 1.5 seconds for 9 seconds. This effect can occur once every 9 seconds.
Master-at-Arms	Increases your damage done with direct damage attacks by 3% per stage.
Mighty	Grants 100 Weapon and Spell Damage to Martial attacks. Affects Physical, Poison, Disease, and Bleed Damage.
Occult Overload	Whenever you kill an enemy under the effect of a status effect, they violently explode for 1037 Oblivion Damage per stage to all other enemies in a 4 meter radius, and applying a random status effect to each enemy hit. This effect can occur once every second.
Piercing	Grants 350 Offensive Penetration per stage.
Precision	Grants 160 Critical Chance per stage.
Preparation	Reduces your damage taken from non-player attacks by 5% per stage.
Quick Recovery	Increases your healing received by 1% per stage.
Reaving Blows	When you deal direct damage you heal for 7% of the damage done.
Reinforced	When you begin Bracing, you gain a damage shield that absorbs 5140 damage for 3 seconds. This effect can occur once every 10 seconds.
Rejuvenator	Grants 41 Weapon and Spell Damage to your healing abilities per stage.
Resilience	Grants 132 Critical Resistance per stage.
Riposte	When you block an attack from an enemy within 7 meters, your next direct damage attack made within 5 seconds deals 33% additional damage. This effect can occur once every 5 seconds.
Salve of Renewal	Whenever you remove a harmful effect from yourself or an ally, you sanctify the ground beneath them and heal them and allies within 8 meters for 1280 Health per stage. This effect can occur once every 10 seconds.
Soothing Tide	Increases your Healing Done by area of effect heals by 2% per stage.
Swift Renewal	Increases your Healing Done with healing over time effects by 2% per stage.
Thaumaturge	Increases your damage done with damage over time effects by 3% per stage.
Tireless Discipline	Grants 260 Max Stamina per stage.
Unassailable	Reduces your damage taken by area of effect attacks by 3% per stage.
Untamed Aggression	Increases your Weapon and Spell Damage by 3 per stage.
War Mage	Grants 100 Weapon and Spell Damage to Magical attacks. Affects Magic, Flame, Frost, and Shock Damage.
Weapons Expert	Increases your damage done with Light and Heavy Attacks by 4% per stage.
Wrathful Strikes	Grants 41 Weapon and Spell Damage to your damaging abilities per stage.
